username,date,day,exercise_name,level,primaryMuscles,instructions
PinaG,2024-05-22,Saturday,Around The Worlds,intermediate,chest,Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury make sure that you keep your elbows slightly bent. This will be your starting position. Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement. Reverse the movement to return the weight to the starting position as you exhale.
PinaG,2024-05-22,Saturday,Bodyweight Flyes,intermediate,chest,Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll. Assume a push-up position over the bars supporting your weight on your toes and hands with your arms extended and body straight. Place your hands on the bars. This will be your starting position. Using a slow and controlled motion move your hands away from the midline of your body rolling the bars apart. Inhale during this portion of the motion. After moving the bars as far apart as you can return to the starting position by pulling them back together. Exhale as you perform this movement.
PinaG,2024-05-22,Saturday,Straight-Arm Dumbbell Pullover,intermediate,chest,Place a dumbbell standing up on a flat bench. Ensuring that the dumbbell stays securely placed at the top of the bench lie perpendicular to the bench (torso across it as in forming a cross) with only your shoulders lying on the surface. Hips should be below the bench and legs bent with feet firmly on the floor. The head will be off the bench as well. Grasp the dumbbell with both hands and hold it straight over your chest at arms length. Both palms should be pressing against the underside one of the sides of the dumbbell. This will be your starting position.\nCaution: Always ensure that the dumbbell used for this exercise is secure. Using a dumbbell with loose plates can result in the dumbbell falling apart and falling on your face. While keeping your arms straight lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest. At that point bring the dumbbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement. Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.
PinaG,2024-05-22,Saturday,Flat Bench Cable Flyes,intermediate,chest,Position a flat bench between two low pulleys so that when you are laying on it your chest will be lined up with the cable pulleys. Lay flat on the bench and keep your feet on the ground. Have someone hand you the handles on each hand. You will grab each single handle attachment with a palms up grip. Extend your arms by your side with a slight bend on your elbows. Tip: You will keep this bend constant through the whole movement. Your arms should be parallel to the floor. This is your starting position. Now start lifting the arms in a semi-circle motion directly in front of you by pulling the cables together until both hands meet at the top of the movement. Squeeze your chest as you perform this motion and breathe out during this movement. Also hold the contraction for a second at the top. Tip: When performed correctly at the top position of this movement your arms should be perpendicular to your torso and the floor touching above your chest. Slowly come back to the starting position. Repeat for the recommended amount of repetitions.
PinaG,2024-05-22,Saturday,Barbell Guillotine Bench Press,intermediate,chest,Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms) lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position. As you breathe in bring the bar down slowly until it is about 1 inch from your neck. After a second pause bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done place the bar back in the rack.
PinaG,2024-05-16,Thursday,Ankle On The Knee,beginner,glutes,From a lying position bend your knees and keep your feet on the floor. Place your ankle of one foot on your opposite knee. Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.
PinaG,2024-05-16,Thursday,One Knee To Chest,beginner,glutes,Start off by lying on the floor. Extend one leg straight and pull the other knee to your chest. Hold under the knee joint to protect the kneecap. Gently tug that knee toward your nose. Switch sides. This stretches the buttocks and lower back of the bent leg and the hip flexor of the straight leg.
PinaG,2024-05-16,Thursday,Leg Lift,beginner,glutes,While standing up straight with both feet next to each other at around shoulder width grab a sturdy surface such as the sides of a squat rack or the top of a chair to brace yourself and keep balance. With or without an ankle weight lift one leg behind you as if performing a leg curl but standing up while keeping the other leg straight. Breathe out as you perform this movement. Slowly bring the raised leg back to the floor as you breathe in. Repeat for the recommended amount of repetitions. Repeat the movement with the opposite leg.
PinaG,2024-05-16,Thursday,Glute Kickback,beginner,glutes,Kneel on the floor or an exercise mat and bend at the waist with your arms extended in front of you (perpendicular to the torso) in order to get into a kneeling push-up position but with the arms spaced at shoulder width. Your head should be looking forward and the bend of the knees should create a 90-degree angle between the hamstrings and the calves. This will be your starting position. As you exhale lift up your right leg until the hamstrings are in line with the back while maintaining the 90-degree angle bend. Contract the glutes throughout this movement and hold the contraction at the top for a second. Tip: At the end of the movement the upper leg should be parallel to the floor while the calf should be perpendicular to it. Go back to the initial position as you inhale and now repeat with the left leg. Continue to alternate legs until all of the recommended repetitions have been performed.
PinaG,2024-05-16,Thursday,Hip Lift with Band,beginner,glutes,"""After choosing a suitable band lay down in the middle of the rack after securing the band on either side of you. If your rack doesnt have pegs the band can be secured using heavy dumbbells or similar objects just ensure they wont move."" Adjust your position so that the band is directly over your hips. Bend your knees and place your feet flat on the floor. Your hands can be on the floor or holding the band in position. Keeping your shoulders on the ground drive through your heels to raise your hips pushing into the band as high as you can. Pause at the top of the motion and return to the starting position."
PinaG,2024-05-16,Thursday,Flutter Kicks,beginner,glutes,On a flat bench lie facedown with the hips on the edge of the bench the legs straight with toes high off the floor and with the arms on top of the bench holding on to the front edge. Squeeze your glutes and hamstrings and straighten the legs until they are level with the hips. This will be your starting position. Start the movement by lifting the left leg higher than the right leg. Then lower the left leg as you lift the right leg. Continue alternating in this manner (as though you are doing a flutter kick in water) until you have done the recommended amount of repetitions for each leg. Make sure that you keep a controlled movement at all times. Tip: You will breathe normally as you perform this movement.
PinaG,2024-05-16,Thursday,Knee Across The Body,beginner,glutes,"""Lie down on the floor with your right leg straight. Bend your left leg and lower it across your body holding the knee down toward the floor with your right hand. (The knee doesnt need to touch the floor if youre tight.)"" Place your left arm comfortably beside you and turn your head to the left. Imagine you have a weight tied to your tailbone. let your tailbone fall back toward the floor as your chest reaches in the opposite direction to stretch your lower back. Switch sides."
PinaG,2024-05-16,Thursday,Single Leg Glute Bridge,beginner,glutes,Lay on the floor with your feet flat and knees bent. Raise one leg off of the ground pulling the knee to your chest. This will be your starting position. Execute the movement by driving through the heel extending your hip upward and raising your glutes off of the ground. Extend as far as possible pause and then return to the starting position.
PinaG,2024-05-16,Thursday,Leg Lift,beginner,glutes,While standing up straight with both feet next to each other at around shoulder width grab a sturdy surface such as the sides of a squat rack or the top of a chair to brace yourself and keep balance. With or without an ankle weight lift one leg behind you as if performing a leg curl but standing up while keeping the other leg straight. Breathe out as you perform this movement. Slowly bring the raised leg back to the floor as you breathe in. Repeat for the recommended amount of repetitions. Repeat the movement with the opposite leg.
PinaG,2024-05-16,Thursday,One Knee To Chest,beginner,glutes,Start off by lying on the floor. Extend one leg straight and pull the other knee to your chest. Hold under the knee joint to protect the kneecap. Gently tug that knee toward your nose. Switch sides. This stretches the buttocks and lower back of the bent leg and the hip flexor of the straight leg.
PinaG,2024-05-18,Monday,One-Legged Cable Kickback,intermediate,glutes,"Hook a leather ankle cuff to a low cable pulley and then attach the cuff to your ankle. Face the weight stack from a distance of about two feet grasping the steel frame for support. While keeping your knees and hips bent slightly and your abs tight contract your glutes to slowly ""kick"" the working leg back in a semicircular arc as high as it will comfortably go as you breathe out. Tip: At full extension squeeze your glutes for a second in order to achieve a peak contraction. Now slowly bring your working leg forward resisting the pull of the cable until you reach the starting position. Repeat for the recommended amount of repetitions. Switch legs and repeat the movement for the other side."
PinaG,2024-05-18,Monday,Piriformis-SMR,intermediate,glutes,Sit with your buttocks on top of a foam roll. Bend your knees and then cross one leg so that the ankle is over the knee. This will be your starting position. Shift your weight to the side of the crossed leg rolling over the buttocks until you feel tension in your upper glute. You may assist the stretch by using one hand to pull the bent knee towards your chest. Hold this position for 10-30 seconds and then switch sides.
PinaG,2024-05-18,Monday,Downward Facing Balance,intermediate,glutes,Lie facedown on top of an exercise ball. While resting on your stomach on the ball walk your hands forward along the floor and lift your legs extending your elbows and knees.
PinaG,2024-05-18,Monday,Barbell Glute Bridge,intermediate,glutes,Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips and lay down flat on the floor. Begin the movement by driving through with your heels extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet. Extend as far as possible then reverse the motion to return to the starting position.
PinaG,2024-05-18,Monday,Barbell Hip Thrust,intermediate,glutes,Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips and lean back against the bench so that your shoulder blades are near the top of it. Begin the movement by driving through your feet extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible then reverse the motion to return to the starting position.
PinaG,2024-05-19,Friday,Barbell Hip Thrust,intermediate,glutes,Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips and lean back against the bench so that your shoulder blades are near the top of it. Begin the movement by driving through your feet extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible then reverse the motion to return to the starting position.
PinaG,2024-05-19,Friday,Kneeling Squat,intermediate,glutes,Set the bar to the proper height in a power rack. Kneel behind the bar; it may be beneficial to put a mat down to pad your knees. Slide under the bar racking it across the back of your shoulders. Your shoulder blades should be retracted and the bar tight across your back. Unrack the weight. With your head looking forward sit back with your butt until you touch your calves. Reverse the motion returning the torso to an upright position.
PinaG,2024-05-19,Friday,One-Legged Cable Kickback,intermediate,glutes,"Hook a leather ankle cuff to a low cable pulley and then attach the cuff to your ankle. Face the weight stack from a distance of about two feet grasping the steel frame for support. While keeping your knees and hips bent slightly and your abs tight contract your glutes to slowly ""kick"" the working leg back in a semicircular arc as high as it will comfortably go as you breathe out. Tip: At full extension squeeze your glutes for a second in order to achieve a peak contraction. Now slowly bring your working leg forward resisting the pull of the cable until you reach the starting position. Repeat for the recommended amount of repetitions. Switch legs and repeat the movement for the other side."
PinaG,2024-05-19,Friday,Piriformis-SMR,intermediate,glutes,Sit with your buttocks on top of a foam roll. Bend your knees and then cross one leg so that the ankle is over the knee. This will be your starting position. Shift your weight to the side of the crossed leg rolling over the buttocks until you feel tension in your upper glute. You may assist the stretch by using one hand to pull the bent knee towards your chest. Hold this position for 10-30 seconds and then switch sides.
PinaG,2024-05-19,Friday,Downward Facing Balance,intermediate,glutes,Lie facedown on top of an exercise ball. While resting on your stomach on the ball walk your hands forward along the floor and lift your legs extending your elbows and knees.
PinaG,2024-05-16,Friday,Barbell Guillotine Bench Press,intermediate,chest,Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms) lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position. As you breathe in bring the bar down slowly until it is about 1 inch from your neck. After a second pause bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done place the bar back in the rack.
PinaG,2024-05-16,Friday,Straight-Arm Dumbbell Pullover,intermediate,chest,Place a dumbbell standing up on a flat bench. Ensuring that the dumbbell stays securely placed at the top of the bench lie perpendicular to the bench (torso across it as in forming a cross) with only your shoulders lying on the surface. Hips should be below the bench and legs bent with feet firmly on the floor. The head will be off the bench as well. Grasp the dumbbell with both hands and hold it straight over your chest at arms length. Both palms should be pressing against the underside one of the sides of the dumbbell. This will be your starting position.\nCaution: Always ensure that the dumbbell used for this exercise is secure. Using a dumbbell with loose plates can result in the dumbbell falling apart and falling on your face. While keeping your arms straight lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest. At that point bring the dumbbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement. Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.
PinaG,2024-05-16,Friday,Chain Press,intermediate,chest,Begin by connecting the chains to the cable handle attachments. Position yourself on the flat bench in the same position as for a dumbbell press. Your wrists should be pronated and arms perpendicular to the floor. This will be your starting position. Lower the chains by flexing the elbows unloading some of the chain onto the floor. Continue until your elbow forms a 90 degree angle and then reverse the motion by extending through the elbow to lockout.
PinaG,2024-05-16,Friday,Forward Drag with Press,intermediate,chest,Attach a dual handled chain or rope attachment to the sled. You should be facing away from the sled holding a handle in each hand. Begin the movement by moving forward for one step. Leaning forward extend through the legs and hips to move pausing with each step to extend through the elbows pressing your hands forward. Step forward until you return to the start position prepared to press.
PinaG,2024-05-16,Friday,Wide-Grip Barbell Bench Press,intermediate,chest,Lie back on a flat bench with feet firm on the floor. Using a wide pronated (palms forward) grip that is around 3 inches away from shoulder width (for each hand) lift the bar from the rack and hold it straight over you with your arms locked. The bar will be perpendicular to the torso and the floor. This will be your starting position. As you breathe in come down slowly until you feel the bar on your middle chest. After a second pause bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions.
PinaG,2024-05-16,Friday,Low Cable Crossover,beginner,chest,To move into the starting position place the pulleys at the low position select the resistance to be used and grasp a handle in each hand. Step forward gaining tension in the pulleys. Your palms should be facing forward hands below the waist and your arms straight. This will be your starting position. With a slight bend in your arms draw your hands upward and toward the midline of your body. Your hands should come together in front of your chest palms facing up. Return your arms back to the starting position after a brief pause.
PinaG,2024-05-16,Friday,Incline Cable Chest Press,beginner,chest,Adjust the weight to an appropriate amount and be seated grasping the handles. Your upper arms should be about 45 degrees to the body with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position. Begin by extending through the elbow pressing the handles together straight in front of you. Keep your shoulder blades retracted as you execute the movement. After pausing at full extension return to the starting position keeping tension on the cables.
PinaG,2024-05-16,Friday,Front Raise And Pullover,beginner,chest,Lie on a flat bench while holding a barbell using a palms down grip that is about 15 inches apart. Place the bar on your upper thighs extend your arms and lock them while keeping a slight bend on the elbows. This will be your starting position. Now raise the weight using a semicircular motion and keeping your arms straight as you inhale. Continue the same movement until the bar is on the other side above your head . (Tip: the bar will travel approximately 180-degrees). At this point your arms should be parallel to the floor with the palms of your hands facing the ceiling. Now return the barbell to the starting position by reversing the motion as you exhale. Repeat for the recommended amount of repetitions.
PinaG,2024-05-16,Friday,Pushups (Close and Wide Hand Positions),beginner,chest,Lie on the floor face down and body straight with your toes on the floor and the hands wider than shoulder width for a wide hand position and closer than shoulder width for a close hand position. Make sure you are holding your torso up at arms length. Lower yourself until your chest almost touches the floor as you inhale. Using your pectoral muscles press your upper body back up to the starting position and squeeze your chest. Breathe out as you perform this step. After a second pause at the contracted position repeat the movement for the prescribed amount of repetitions.
PinaG,2024-05-16,Friday,Alternating Floor Press,beginner,chest,Lie on the floor with two kettlebells next to your shoulders. Position one in place on your chest and then the other gripping the kettlebells on the handle with the palms facing forward. Extend both arms so that the kettlebells are being held above your chest. Lower one kettlebell bringing it to your chest and turn the wrist in the direction of the locked out kettlebell. Raise the kettlebell and repeat on the opposite side.
PinaG,2024-05-16,Friday,Suspended Push-Up,beginner,chest,Anchor your suspension straps securely to the top of a rack or other object. Leaning into the straps take a handle in each hand and move into a push-up plank position. You should be as close to parallel to the ground as you can manage with your arms fully extended maintaining good posture. Maintaining a straight rigid torso descend slowly by allowing the elbows to flex. Continue until your elbows break 90 degrees pausing before you extend to return to the starting position.
PinaG,2024-05-16,Friday,Chest Push (multiple response),beginner,chest,Begin in a kneeling position facing a wall or utilize a partner. Hold the ball with both hands tight into the chest. Execute the pass by exploding forward and outward with the hips while pushing the ball as hard as possible. Follow through by falling forward catching yourself with your hands. Immediately return to an upright position. Repeat for the desired number of repetitions.
PinaG,2024-05-16,Friday,Leverage Incline Chest Press,beginner,chest,Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the top of the pectorals at the beginning of the motion. Your chest and head should be up and your shoulder blades retracted. This will be your starting position. Press the handles forward by extending through the elbow. After a brief pause at the top return the weight just above the start position keeping tension on the muscles by not returning the weight to the stops until the set is complete.
PinaG,2024-05-16,Friday,Chest Push from 3 point stance,beginner,chest,Begin in a three point stance squatted down with your back flat and one hand on the ground. Place the medicine ball directly in front of you. To begin take your first step as you pull the ball to your chest positioning both hands to prepare for the throw. As you execute the second step explosively release the ball forward as hard as possible.
PinaG,2024-05-16,Friday,Chest Push with Run Release,beginner,chest,Begin in an athletic stance with the knees bent hips back and back flat. Hold the medicine ball near your legs. This will be your starting position. While taking your first step draw the medicine ball into your chest. As you take the second step explosively push the ball forward immediately sprinting for 10 yards after the release. If you are really fast you can catch your own pass!
PinaG,2024-05-16,Friday,Decline Smith Press,beginner,chest,Place a decline bench underneath the Smith machine. Now place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Using a pronated grip that is wider than shoulder width unlock the bar from the rack and hold it straight over you with your arms extended. This will be your starting position. As you inhale lower the bar under control by allowing the elbows to flex lightly contacting the torso. After a brief pause bring the bar back to the starting position by extending the elbows exhaling as you do so. Repeat the movement for the prescribed amount of repetitions. When the set is complete lock the bar back in the rack.
PinaG,2024-05-16,Friday,Incline Dumbbell Bench With Palms Facing In,beginner,chest,Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other. By using your thighs to help you get the dumbbells up clean the dumbbells one arm at a time so that you can hold them at shoulder width. Once at shoulder width keep the palms of your hands with a neutral grip (palms facing each other). Keep your elbows flared out with the upper arms in line with the shoulders (perpendicular to the torso) and the elbows bent creating a 90-degree angle between the upper arm and the forearm. This will be your starting position. Now bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbells at all times. As you breathe out push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done place the dumbbells back in your thighs and then on the floor. This is the safest manner to dispose of the dumbbells.
PinaG,2024-05-16,Friday,Alternating Floor Press,beginner,chest,Lie on the floor with two kettlebells next to your shoulders. Position one in place on your chest and then the other gripping the kettlebells on the handle with the palms facing forward. Extend both arms so that the kettlebells are being held above your chest. Lower one kettlebell bringing it to your chest and turn the wrist in the direction of the locked out kettlebell. Raise the kettlebell and repeat on the opposite side.
PinaG,2024-05-16,Friday,Decline Push-Up,beginner,chest,Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Move your feet up to a box or bench. This will be your starting position. Next lower yourself downward until your chest almost touches the floor as you inhale. Now breathe out and press your upper body back up to the starting position while squeezing your chest. After a brief pause at the top contracted position you can begin to lower yourself downward again for as many repetitions as needed.
PinaG,2024-05-16,Friday,Incline Push-Up,beginner,chest,Stand facing bench or sturdy elevated platform. Place hands on edge of bench or platform slightly wider than shoulder width. Position forefoot back from bench or platform with arms and body straight. Arms should be perpendicular to body. Keeping body straight lower chest to edge of box or platform by bending arms. Push body up until arms are extended. Repeat.
