Unnamed: 0,name,level,primaryMuscles,instructions,id
127,Cable Russian Twists,beginner,abdominals,"Connect a standard handle attachment and position the cable to a middle pulley position. ""Lie on a stability ball perpendicular to the cable and grab the handle with one hand. You should be approximately arms length away from the pulley with the tension of the weight on the cable."" Grab the handle with both hands and fully extend your arms above your chest. You hands should be directly in-line with the pulley. If not adjust the pulley up or down until they are. Keep your hips elevated and abs engaged. Rotate your torso away from the pulley for a full-quarter rotation. Your body should be flat from head to knees. Pause for a moment and in a slow and controlled manner reset to the starting position. You should still have side tension on the cable in the resting position. Repeat the same movement to failure. Then reposition and repeat the same series of movements on the opposite side.",Cable_Russian_Twists
128,Cable Seated Crunch,beginner,abdominals,Seat on a flat bench with your back facing a high pulley. Grasp the cable rope attachment with both hands (with the palms of the hands facing each other) and place your hands securely over both shoulders. Tip: Allow the weight to hyperextend the lower back slightly. This will be your starting position. With the hips stationary flex the waist so the elbows travel toward the hips. Breathe out as you perform this step. As you inhale go back to the initial position slowly. Repeat for the recommended amount of repetitions.,Cable_Seated_Crunch
172,Close-Grip EZ-Bar Curl with Band,beginner,biceps,Attach a band to each end of the bar. Take the bar placing a foot on the middle of the band. Stand upright with a narrow supinated grip on the EZ bar. The elbows should be close to the torso. This will be your starting position. While keeping the upper arms in place flex the elbows to execute the curl. Exhale as the weight is lifted. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions.,Close-Grip_EZ-Bar_Curl_with_Band
174,Close-Grip EZ Bar Curl,beginner,biceps,Stand up with your torso upright while holding an E-Z Curl Bar at the closer inner handle. The palm of your hands should be facing forward and they should be slightly tilted inwards due to the shape of the bar. The elbows should be close to the torso. This will be your starting position. While holding the upper arms stationary curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions.,Close-Grip_EZ_Bar_Curl
177,Close-Grip Standing Barbell Curl,beginner,biceps,Hold a barbell with both hands palms up and a few inches apart. Stand with your torso straight and your head up. Your feet should be about shoulder width and your elbows close to your torso. This will be your starting position. Tip: You will keep your upper arms and elbows stationary throughout the movement. Curl the bar up in a semicircular motion until the forearms touch your biceps. Exhale as you perform this portion of the movement and contract your biceps hard for a second at the top. Tip: Avoid bending the back or using swinging motions as you lift the weight. Only the forearms should move. Slowly go back down to the starting position as you inhale. Repeat for the recommended amount of repetitions.,Close-Grip_Standing_Barbell_Curl
178,Cocoons,beginner,abdominals,Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head. This will be your starting position. To perform the movement tuck the knees toward your chest rotating your pelvis to lift your glutes from the floor. As you do so flex the spine bringing your arms back over your head to perform a simultaneous crunch motion. After a brief pause return to the starting position.,Cocoons
180,Concentration Curls,beginner,biceps,Sit down on a flat bench with one dumbbell in front of you between your legs. Your legs should be spread with your knees bent and feet on the floor. Use your right arm to pick the dumbbell up. Place the back of your right upper arm on the top of your inner right thigh. Rotate the palm of your hand until it is facing forward away from your thigh. Tip: Your arm should be extended and the dumbbell should be above the floor. This will be your starting position. While holding the upper arm stationary curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Tip: At the top of the movement make sure that the little finger of your arm is higher than your thumb. This guarantees a good contraction. Hold the contracted position for a second as you squeeze the biceps. Slowly begin to bring the dumbbells back to starting position as your breathe in. Caution: Avoid swinging motions at any time. Repeat for the recommended amount of repetitions. Then repeat the movement with the left arm.,Concentration_Curls
181,Cross-Body Crunch,beginner,abdominals,Lie flat on your back and bend your knees about 60 degrees. Keep your feet flat on the floor and place your hands loosely behind your head. This will be your starting position. Now curl up and bring your right elbow and shoulder across your body while bring your left knee in toward your left shoulder at the same time. Reach with your elbow and try to touch your knee. Exhale as you perform this movement. Tip: Try to bring your shoulder up towards your knee rather than just your elbow and remember that the key is to contract the abs as you perform the movement; not just to move the elbow. Now go back down to the starting position as you inhale and repeat with the left elbow and the right knee. Continue alternating in this manner until all prescribed repetitions are done.,Cross-Body_Crunch
182,Cross Body Hammer Curl,beginner,biceps,Stand up straight with a dumbbell in each hand. Your hands should be down at your side with your palms facing in. While keeping your palms facing in and without twisting your arm curl the dumbbell of the right arm up towards your left shoulder as you exhale. Touch the top of the dumbbell to your shoulder and hold the contraction for a second. Slowly lower the dumbbell along the same path as you inhale and then repeat the same movement for the left arm. Continue alternating in this fashion until the recommended amount of repetitions is performed for each arm.,Cross_Body_Hammer_Curl
186,Crunch - Hands Overhead,beginner,abdominals,"Lie on the floor with your back flat and knees bent with around a 60-degree angle between the hamstrings and the calves. Keep your feet flat on the floor and stretch your arms overhead with your palms crossed. This will be your starting position. ""Curl your upper body forward and bring your shoulder blades just off the floor. At all times keep your arms aligned with your head neck and shoulder. Dont move them forward from that position. Exhale as you perform this portion of the movement and hold the contraction for a second."" Slowly lower down to the starting position as you inhale. Repeat for the recommended amount of repetitions.",Crunch_-_Hands_Overhead
187,Crunch - Legs On Exercise Ball,beginner,abdominals,"Lie flat on your back with your feet resting on an exercise ball and your knees bent at a 90 degree angle. Place your feet three to four inches apart and point your toes inward so they touch. ""Place your hands lightly on either side of your head keeping your elbows in. Tip: Dont lock your fingers behind your head."" Push the small of your back down in the floor in order to better isolate your abdominal muscles. This will be your starting position. Begin to roll your shoulders off the floor and continue to push down as hard as you can with your lower back. Your shoulders should come up off the floor only about four inches and your lower back should remain on the floor. Breathe out as you execute this portion of the movement. Squeeze your abdominals hard at the top of the contraction and hold for a second. Tip: Focus on a slow controlled movement. Refrain from using momentum at any time. Slowly go back down to the starting position as you inhale. Repeat for the recommended amount of repetitions.",Crunch_-_Legs_On_Exercise_Ball
188,Crunches,beginner,abdominals,"Lie flat on your back with your feet flat on the ground or resting on a bench with your knees bent at a 90 degree angle. If you are resting your feet on a bench place them three to four inches apart and point your toes inward so they touch. ""Now place your hands lightly on either side of your head keeping your elbows in. Tip: Dont lock your fingers behind your head."" While pushing the small of your back down in the floor to better isolate your abdominal muscles begin to roll your shoulders off the floor. ""Continue to push down as hard as you can with your lower back as you contract your abdominals and exhale. Your shoulders should come up off the floor only about four inches and your lower back should remain on the floor. At the top of the movement contract your abdominals hard and keep the contraction for a second. Tip: Focus on slow controlled movement - dont cheat yourself by using momentum."" After the one second contraction begin to come down slowly again to the starting position as you inhale. Repeat for the recommended amount of repetitions.",Crunches
191,Dead Bug,beginner,abdominals,Begin lying on your back with your hands extended above you toward the ceiling. Bring your feet knees and hips up to 90 degrees. Exhale hard to bring your ribcage down and flatten your back onto the floor rotating your pelvis up and squeezing your glutes. Hold this position throughout the movement. This will be your starting position. Initiate the exercise by extending one leg straightening the knee and hip to bring the leg just above the ground. Maintain the position of your lumbar and pelvis as you perform the movement as your back is going to want to arch. Stay tight and return the working leg to the starting position. Repeat on the opposite side alternating until the set is complete.,Dead_Bug
201,Decline Oblique Crunch,beginner,abdominals,Secure your legs at the end of the decline bench and slowly lay down on the bench. Raise your upper body off the bench until your torso is about 35-45 degrees if measured from the floor. Put one hand beside your head and the other on your thigh. This will be your starting position. Raise your upper body slowly from the starting position while turning your torso to the left. Continue crunching up as you exhale until your right elbow touches your left knee. Hold this contracted position for a second. Tip: Focus on keeping your abs tight and keeping the movement slow and controlled. Lower your body back down slowly to the starting position as you inhale. After completing one set on the right for the recommended amount of repetitions switch to your left side. Tip: Focus on really twisting your torso and feeling the contraction when you are in the up position.,Decline_Oblique_Crunch
203,Decline Reverse Crunch,beginner,abdominals,"""Lie on your back on a decline bench and hold on to the top of the bench with both hands. Dont let your body slip down from this position."" Hold your legs parallel to the floor using your abs to hold them there while keeping your knees and feet together. Tip: Your legs should be fully extended with a slight bend on the knee. This will be your starting position. While exhaling move your legs towards the torso as you roll your pelvis backwards and you raise your hips off the bench. At the end of this movement your knees will be touching your chest. Hold the contraction for a second and move your legs back to the starting position while inhaling. Repeat for the recommended amount of repetitions.",Decline_Reverse_Crunch
220,Dumbbell Alternate Bicep Curl,beginner,biceps,Stand (torso upright) with a dumbbell in each hand held at arms length. The elbows should be close to the torso and the palms of your hand should be facing your thighs. While holding the upper arm stationary curl the right weight as you rotate the palm of the hands until they are facing forward. At this point continue contracting the biceps as you breathe out until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbell back to the starting position as your breathe in. Tip: Remember to twist the palms back to the starting position (facing your thighs) as you come down. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions.,Dumbbell_Alternate_Bicep_Curl
223,Dumbbell Bicep Curl,beginner,biceps,"""Stand up straight with a dumbbell in each hand at arms length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position."" Now keeping the upper arms stationary exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Then inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions.",Dumbbell_Bicep_Curl
245,Dumbbell Side Bend,beginner,abdominals,Stand up straight while holding a dumbbell on the left hand (palms facing the torso) as you have the right hand holding your waist. Your feet should be placed at shoulder width. This will be your starting position. While keeping your back straight and your head up bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary. Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position. Repeat for the recommended amount of repetitions and then change hands.,Dumbbell_Side_Bend
252,EZ-Bar Curl,beginner,biceps,Stand up straight while holding an EZ curl bar at the wide outer handle. The palms of your hands should be facing forward and slightly tilted inward due to the shape of the bar. Keep your elbows close to your torso. This will be your starting position. Now while keeping your upper arms stationary exhale and curl the weights forward while contracting the biceps. Focus on only moving your forearms. Continue to raise the weight until your biceps are fully contracted and the bar is at shoulder level. Hold the top contracted position for a moment and squeeze the biceps. Then inhale and slowly lower the bar back to the starting position. Repeat for the recommended amount of repetitions.,EZ-Bar_Curl
255,Elbow to Knee,beginner,abdominals,Lie on the floor crossing your right leg across your bent left knee. Clasp your hands behind your head beginning with your shoulder blades on the ground. This will be your starting position. Perform the motion by flexing the spine and rotating your torso to bring the left elbow to the right knee. Return to the starting position and repeat the movement for the desired number of repetitions before switching sides.,Elbow_to_Knee
260,Exercise Ball Crunch,beginner,abdominals,Lie on an exercise ball with your lower back curvature pressed against the spherical surface of the ball. Your feet should be bent at the knee and pressed firmly against the floor. The upper torso should be hanging off the top of the ball. The arms should either be kept alongside the body or crossed on top of your chest as these positions avoid neck strains (as opposed to the hands behind the back of the head position). Lower your torso into a stretch position keeping the neck stationary at all times. This will be your starting position. With the hips stationary flex the waist by contracting the abdominals and curl the shoulders and trunk upward until you feel a nice contraction on your abdominals. The arms should simply slide up the side of your legs if you have them at the side or just stay on top of your chest if you have them crossed. The lower back should always stay in contact with the ball. Exhale as you perform this movement and hold the contraction for a second. As you inhale go back to the starting position. Repeat for the recommended amount of repetitions.,Exercise_Ball_Crunch
261,Exercise Ball Pull-In,beginner,abdominals,Place an exercise ball nearby and lay on the floor in front of it with your hands on the floor shoulder width apart in a push-up position. Now place your lower shins on top of an exercise ball. Tip: At this point your legs should be fully extended with the shins on top of the ball and the upper body should be in a push-up type of position being supported by your two extended arms in front of you. This will be your starting position. While keeping your back completely straight and the upper body stationary pull your knees in towards your chest as you exhale allowing the ball to roll forward under your ankles. Squeeze your abs and hold that position for a second. Now slowly straighten your legs rolling the ball back to the starting position as you inhale. Repeat for the recommended amount of repetitions.,Exercise_Ball_Pull-In
271,Flat Bench Leg Pull-In,beginner,abdominals,Lie on an exercise mat or a flat bench with your legs off the end. Place your hands either under your glutes with your palms down or by the sides holding on to the bench (or with palms down by the side on an exercise mat). Also extend your legs straight out. This will be your starting position. Bend your knees and pull your upper thighs into your midsection as you breathe out. Continue this movement until your knees are near your chest. Hold the contracted position for a second. As you breathe in slowly return to the starting position. Repeat for the recommended amount of repetitions.,Flat_Bench_Leg_Pull-In
272,Flat Bench Lying Leg Raise,beginner,abdominals,Lie with your back flat on a bench and your legs extended in front of you off the end. Place your hands either under your glutes with your palms down or by the sides holding on to the bench. This will be your starting position. As you keep your legs extended straight as possible with your knees slightly bent but locked raise your legs until they make a 90-degree angle with the floor. Exhale as you perform this portion of the movement and hold the contraction at the top for a second. Now as you inhale slowly lower your legs back down to the starting position.,Flat_Bench_Lying_Leg_Raise
273,Flexor Incline Dumbbell Curls,beginner,biceps,Hold the dumbbell towards the side farther from you so that you have more weight on the side closest to you. (This can be done for a good effect on all bicep dumbbell exercises). Now do a normal incline dumbbell curl but keep your wrists as far back as possible so as to neutralize any stress that is placed on them. Sit on an incline bench that is angled at 45-degrees while holding a dumbbell on each hand. Let your arms hang down on your sides with the elbows in and turn the palms of your hands forward with the thumbs pointing away from the body. Tip: You will keep this hand position throughout the movement as there should not be any twisting of the hands as they come up. This will be your starting position. Curl up the two dumbbells at the same time until your biceps are fully contracted and exhale. Tip: Do not swing the arms or use momentum. Keep a controlled motion at all times. Hold the contracted position for a second at the top. As you inhale slowly go back to the starting position. Repeat for the recommended amount of repetitions.,Flexor_Incline_Dumbbell_Curls
308,Hammer Curls,beginner,biceps,Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. Now while holding your upper arm stationary exhale and curl the weight forward while contracting the biceps. Continue to raise the weight until the biceps are fully contracted and the dumbbell is at shoulder level. Hold the contracted position for a brief moment as you squeeze the biceps. Tip: Focus on keeping the elbow stationary and only moving your forearm. After the brief pause inhale and slowly begin the lower the dumbbells back down to the starting position. Repeat for the recommended amount of repetitions.,Hammer_Curls
340,Incline Dumbbell Curl,beginner,biceps,Sit back on an incline bench with a dumbbell in each hand held at arms length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position. While holding the upper arm stationary curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second. Slowly begin to bring the dumbbells back to starting position as your breathe in. Repeat for the recommended amount of repetitions.,Incline_Dumbbell_Curl
344,Incline Hammer Curls,beginner,biceps,Seat yourself on an incline bench with a dumbbell in each hand. You should pressed firmly against he back with your feet together. Allow the dumbbells to hang straight down at your side holding them with a neutral grip. This will be your starting position. Initiate the movement by flexing at the elbow attempting to keep the upper arm stationary. Continue to the top of the movement and pause then slowly return to the start position.,Incline_Hammer_Curls
345,Incline Inner Biceps Curl,beginner,biceps,"Hold a dumbbell in each hand and lie back on an incline bench. ""The dumbbells should be at arms length hanging at your sides and your palms should be facing out. This will be your starting position."" Now as you exhale curl the weight outward and up while keeping your forearms in line with your side deltoids. Continue the curl until the dumbbells are at shoulder height and to the sides of your deltoids. Tip: The end of the movement should look similar to a double biceps pose. After a second contraction at the top of the movement start to inhale and slowly lower the weights back to the starting position using the same path used to bring them up. Repeat for the recommended amount of repetitions.",Incline_Inner_Biceps_Curl
364,Jackknife Sit-Up,beginner,abdominals,Lie flat on the floor (or exercise mat) on your back with your arms extended straight back behind your head and your legs extended also. This will be your starting position. As you exhale bend at the waist while simultaneously raising your legs and arms to meet in a jackknife position. Tip: The legs should be extended and lifted at approximately a 35-45 degree angle from the floor and the arms should be extended and parallel to your legs. The upper torso should be off the floor. While inhaling lower your arms and legs back to the starting position. Repeat for the recommended amount of repetitions.,Jackknife_Sit-Up
365,Janda Sit-Up,beginner,abdominals,Position your body on the floor in the basic sit-up position; knees to a ninety degree angle with feet flat on the floor and arms either crossed over your chest or to the sides. This will be your starting position. As you strongly tighten your glutes and hamstrings fill your lungs with air and in a slow (three to six second count) ascent slowly exhale. Tip: It is important to tighten the glutes and hamstrings as this will cause the hip flexors to be inactivated in a process called reciprocal inhibition which basically means that opposite muscles to the contracted ones will relax. As you inhale slowly go back in a controlled manner to the starting position. Repeat for the recommended amount of repetitions.,Janda_Sit-Up
389,Knee/Hip Raise On Parallel Bars,beginner,abdominals,Position your body on the vertical leg raise bench so that your forearms are resting on the pads next to the torso and holding on to the handles. Your arms will be bent at a 90 degree angle. The torso should be straight with the lower back pressed against the pad of the machine and the legs extended pointing towards the floor. This will be your starting position. Now as you breathe out lift your legs up as you keep them extended. Continue this movement until your legs are roughly parallel to the floor and then hold the contraction for a second. Tip: Do not use any momentum or swinging as you perform this exercise. Slowly go back to the starting position as you breathe in. Repeat for the recommended amount of repetitions.,Knee_Hip_Raise_On_Parallel_Bars
392,Kneeling Cable Crunch With Alternating Oblique Twists,beginner,abdominals,"Connect a rope attachment to a high pulley cable and position a mat on the floor in front of it. Grab the rope with both hands and kneel approximately two feet back from the tower. Position the rope behind your head with your hands by your ears. Keep your hands in the same place contract your abs and pull downward on the rope in a crunching movement until your elbows reach your knees. Pause briefly at the bottom and rise up in a slow and controlled manner until you reach the starting position. ""Repeat the same downward movement until youre halfway down at which time youll begin rotating one of your elbows to the opposite knee."" Again pause briefly at the bottom and rise up in a slow and controlled manner until you reach the starting position. Repeat the same movement as before but alternate the other elbow to the opposite knee. Continue this series of movements to failure.",Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists
400,Landmine 180's,beginner,abdominals,Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight. Raise the bar from the floor taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position. Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise. Reverse the motion to swing the weight all the way to the opposite side. Continue alternating the movement until the set is complete.,Landmine_180s
412,Leg Pull-In,beginner,abdominals,Lie on an exercise mat with your legs extended and your hands either palms facing down next to you or under your glutes. Tip: My preference is with the hands next to me. This will be your starting position. Bend your knees and pull your upper thighs into your midsection as you breathe out. Continue the motion until your knees are around chest level. Contract your abs as you execute this movement and hold for a second at the top. Tip: As you perform the motion the lower legs (calves) should always remain parallel to the floor. Return to the starting position as you inhale. Repeat for the recommended amount of repetitions.,Leg_Pull-In
431,Lower Back Curl,beginner,abdominals,Lie on your stomach with your arms out to your sides. This will be your starting position. Using your lower back muscles extend your spine lifting your chest off of the ground. Do not use your arms to push yourself up. Keep your head up during the movement. Repeat for 10-20 repetitions.,Lower_Back_Curl
437,Lying Close-Grip Bar Curl On High Pulley,beginner,biceps,Place a flat bench in front of a high pulley or lat pulldown machine. Hold the straight bar attachment using an underhand grip (palms up) that is about shoulder width. Lie on your back with your head over the end of the bench. Now extend your arms straight above your shoulders. Your torso and your arms should make a 90-degree angle and the elbows should be in. This will be your starting position. As you breathe out curl the bar down in a semicircular motion until it touches your chin. Squeeze the biceps for a second at the top contracted position. Tip: As you execute this motion only the forearms should move. At no time should the upper arms be moving at all. They are to remain perpendicular throughout the movement. Return to starting position slowly. Repeat for the recommended amount of repetitions.,Lying_Close-Grip_Bar_Curl_On_High_Pulley
