username,date,day,exercise_name,level,primaryMuscles,instructions
PinaG,2024-05-31,Monday,Split Squat with Dumbbells,beginner,quadriceps,Position yourself into a staggered stance with the rear foot elevated and front foot forward. Hold a dumbbell in each hand letting them hang at the sides. This will be your starting position. Begin by descending flexing your knee and hip to lower your body down. Maintain good posture througout the movement. Keep the front knee in line with the foot as you perform the exercise. At the bottom of the movement drive through the heel to extend the knee and hip to return to the starting position.
PinaG,2024-05-31,Monday,Crunches,beginner,abdominals,"Lie flat on your back with your feet flat on the ground or resting on a bench with your knees bent at a 90 degree angle. If you are resting your feet on a bench place them three to four inches apart and point your toes inward so they touch. ""Now place your hands lightly on either side of your head keeping your elbows in. Tip: Dont lock your fingers behind your head."" While pushing the small of your back down in the floor to better isolate your abdominal muscles begin to roll your shoulders off the floor. ""Continue to push down as hard as you can with your lower back as you contract your abdominals and exhale. Your shoulders should come up off the floor only about four inches and your lower back should remain on the floor. At the top of the movement contract your abdominals hard and keep the contraction for a second. Tip: Focus on slow controlled movement - dont cheat yourself by using momentum."" After the one second contraction begin to come down slowly again to the starting position as you inhale. Repeat for the recommended amount of repetitions."
PinaG,2024-05-31,Monday,Standing Long Jump,beginner,quadriceps,This drill is best done in sand or other soft landing surface. Ensure that you are able to measure distance. Stand in a partial squat stance with feet shoulder width apart. Utilizing a big arm swing and a countermovement of the legs jump forward as far as you can. Attempt to land with your feet out in front you reaching as far as possible with your legs. Measure the distance from your landing point to the starting point and track results.
PinaG,2024-05-31,Monday,Spider Crawl,beginner,abdominals,Begin in a prone position on the floor. Support your weight on your hands and toes with your feet together and your body straight. Your arms should be bent to 90 degrees. This will be your starting position. Initiate the movement by raising one foot off of the ground. Externally rotate the leg and bring the knee toward your elbow as far forward as possible. Return this leg to the starting position and repeat on the opposite side.
PinaG,2024-05-31,Monday,Trail Running/Walking,beginner,quadriceps,Running or hiking on trails will get the blood pumping and heart beating almost immediately. Make sure you have good shoes. While you use the muscles in your calves and buttocks to pull yourself up a hill the knees joints and ankles absorb the bulk of the pounding coming back down. Take smaller steps as you walk downhill keep your knees bent to reduce the impact and slow down to avoid falling. A 150 lb person can burn over 200 calories for 30 minutes walking uphill compared to 175 on a flat surface. If running the trail a 150 lb person can burn well over 500 calories in 30 minutes.
PinaG,2024-06-01,Thursday,Jackknife Sit-Up,beginner,abdominals,Lie flat on the floor (or exercise mat) on your back with your arms extended straight back behind your head and your legs extended also. This will be your starting position. As you exhale bend at the waist while simultaneously raising your legs and arms to meet in a jackknife position. Tip: The legs should be extended and lifted at approximately a 35-45 degree angle from the floor and the arms should be extended and parallel to your legs. The upper torso should be off the floor. While inhaling lower your arms and legs back to the starting position. Repeat for the recommended amount of repetitions.
PinaG,2024-06-01,Thursday,Squats - With Bands,beginner,quadriceps,To start out make sure that the exercise band is at an even split between both the left and right side of the body. To do this use your hands to grab both sides of the band and place both feet in the middle of the band. Your feet should be shoulder width apart from each other. When holding the bands they should be the same height on each side. You should be using a pronated grip (palms facing forward) and have the handles of the bands next to your face for this exercise. This is the starting position. Slowly start to bend the knees and lower the legs so that your thighs are parallel to the floor while exhaling. Use the heel of your feet to push your body up to the starting position as you exhale. Repeat for the recommended amount of repetitions.
PinaG,2024-06-01,Thursday,Bicycling,beginner,quadriceps,To begin seat yourself on the bike and adjust the seat to your height.
PinaG,2024-06-01,Thursday,Sledgehammer Swings,beginner,abdominals,You will need a tire and a sledgehammer for this exercise. Stand in front of the tire about two feet away from it with a staggered stance. Grip the sledgehammer. If you are right handed your left hand should be at the bottom of the handle and your right hand should be choking up closer to the head. As you bring the sledge up your right hand slides toward the head; as you swing down your right hand will slide down to join your left hand. Slam it down as hard as you can against the tire. Control the bounce of the hammer off of the tire. Repeat on the other side.
PinaG,2024-06-01,Thursday,Single-Leg Stride Jump,beginner,quadriceps,Stand to the side of a box with your inside foot on top of it close to the edge. Begin by swinging the arms upward as you push through the top leg jumping upward as high as possible. Attempt to drive the opposite knee upward. Land in the same position that you started using your inside leg to decelerate the impact.
